Turn Count,Attack Count,Switch Count,Average HP,Pokemons,File
16,13,5,0.0,"{'Urshifu-*': {'base_form': 'Urshifu', 'HP': 0}, 'Heatran': {'base_form': 'Heatran', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Tapu Lele': {'base_form': 'Tapu Lele', 'HP': 0}, 'Kartana': {'base_form': 'Kartana', 'HP': 0}}",battle_log/pokellmon_vs_invited_player\literally an ai - battle-gen8ou-13.html
25,22,5,0.0,"{'Urshifu-*': {'base_form': 'Urshifu', 'HP': 0}, 'Heatran': {'base_form': 'Heatran', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Tapu Lele': {'base_form': 'Tapu Lele', 'HP': 0}, 'Kartana': {'base_form': 'Kartana', 'HP': 0}}",battle_log/pokellmon_vs_invited_player\literally an ai - battle-gen8ou-23.html
18,16,3,53.89254385964912,"{'Urshifu-*': {'base_form': 'Urshifu', 'HP': 1}, 'Heatran': {'base_form': 'Heatran', 'HP': 1}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0.23355263157894737}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Tapu Lele': {'base_form': 'Tapu Lele', 'HP': 1}, 'Kartana': {'base_form': 'Kartana', 'HP': 0}}",battle_log/pokellmon_vs_invited_player\literally an ai - battle-gen8ou-24.html
0,0,-1,100.0,"{'Urshifu-*': {'base_form': 'Urshifu', 'HP': 1}, 'Heatran': {'base_form': 'Heatran', 'HP': 1}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 1}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 1}, 'Tapu Lele': {'base_form': 'Tapu Lele', 'HP': 1}, 'Kartana': {'base_form': 'Kartana', 'HP': 1}}",battle_log/pokellmon_vs_invited_player\literally an ai - battle-gen8ou-25.html
0,0,-1,100.0,"{'Urshifu-*': {'base_form': 'Urshifu', 'HP': 1}, 'Heatran': {'base_form': 'Heatran', 'HP': 1}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 1}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 1}, 'Tapu Lele': {'base_form': 'Tapu Lele', 'HP': 1}, 'Kartana': {'base_form': 'Kartana', 'HP': 1}}",battle_log/pokellmon_vs_invited_player\literally an ai - battle-gen8ou-26.html
0,0,-1,100.0,"{'Urshifu-*': {'base_form': 'Urshifu', 'HP': 1}, 'Heatran': {'base_form': 'Heatran', 'HP': 1}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 1}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 1}, 'Tapu Lele': {'base_form': 'Tapu Lele', 'HP': 1}, 'Kartana': {'base_form': 'Kartana', 'HP': 1}}",battle_log/pokellmon_vs_invited_player\literally an ai - battle-gen8ou-39.html
16,12,5,0.0,"{'Urshifu-*': {'base_form': 'Urshifu', 'HP': 0}, 'Heatran': {'base_form': 'Heatran', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Tapu Lele': {'base_form': 'Tapu Lele', 'HP': 0}, 'Kartana': {'base_form': 'Kartana', 'HP': 0}}",battle_log/pokellmon_vs_invited_player\literally an ai - battle-gen8ou-42.html
17,13,5,0.0,"{'Urshifu-*': {'base_form': 'Urshifu', 'HP': 0}, 'Heatran': {'base_form': 'Heatran', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Tapu Lele': {'base_form': 'Tapu Lele', 'HP': 0}, 'Kartana': {'base_form': 'Kartana', 'HP': 0}}",battle_log/pokellmon_vs_invited_player\literally an ai - battle-gen8ou-43.html
25,15,10,0.0,"{'Urshifu-*': {'base_form': 'Urshifu', 'HP': 0}, 'Heatran': {'base_form': 'Heatran', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Tapu Lele': {'base_form': 'Tapu Lele', 'HP': 0}, 'Kartana': {'base_form': 'Kartana', 'HP': 0}}",battle_log/pokellmon_vs_invited_player\literally an ai - battle-gen8ou-45.html
13,5,8,0.0,"{'Urshifu-*': {'base_form': 'Urshifu', 'HP': 0}, 'Heatran': {'base_form': 'Heatran', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Tapu Lele': {'base_form': 'Tapu Lele', 'HP': 0}, 'Kartana': {'base_form': 'Kartana', 'HP': 0}}",battle_log/pokellmon_vs_invited_player\literally an ai - battle-gen8ou-46.html
1,0,0,0.0,{},battle_log/pokellmon_vs_invited_player\literally an ai - battle-gen8randombattle-1.html
34,31,5,0.0,{},battle_log/pokellmon_vs_invited_player\literally an ai - battle-gen8randombattle-12.html
