Turn Count,Attack Count,Switch Count,Average HP,Pokemons,File
45,35,14,0.0,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0}, 'Hawlucha': {'base_form': 'Hawlucha', 'HP': 0}, 'Corviknight': {'base_form': 'Corviknight', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Clefable': {'base_form': 'Clefable', 'HP': 0}}",battle_log/pokellmon_vs_invited_player\literally an ai - battle-gen8ou-78.html
19,9,12,0.0,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0}, 'Hawlucha': {'base_form': 'Hawlucha', 'HP': 0}, 'Corviknight': {'base_form': 'Corviknight', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Clefable': {'base_form': 'Clefable', 'HP': 0}}",battle_log/pokellmon_vs_invited_player\literally an ai - battle-gen8ou-79.html
27,19,10,0.0,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0}, 'Hawlucha': {'base_form': 'Hawlucha', 'HP': 0}, 'Corviknight': {'base_form': 'Corviknight', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Clefable': {'base_form': 'Clefable', 'HP': 0}}",battle_log/pokellmon_vs_invited_player\literally an ai - battle-gen8ou-80.html
16,9,9,0.0,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0}, 'Hawlucha': {'base_form': 'Hawlucha', 'HP': 0}, 'Corviknight': {'base_form': 'Corviknight', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Clefable': {'base_form': 'Clefable', 'HP': 0}}",battle_log/pokellmon_vs_invited_player\literally an ai - battle-gen8ou-81.html
21,11,11,0.0,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0}, 'Hawlucha': {'base_form': 'Hawlucha', 'HP': 0}, 'Corviknight': {'base_form': 'Corviknight', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Clefable': {'base_form': 'Clefable', 'HP': 0}}",battle_log/pokellmon_vs_invited_player\literally an ai - battle-gen8ou-82.html
28,14,13,0.0,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Clefable': {'base_form': 'Clefable', 'HP': 0}, 'Corviknight': {'base_form': 'Corviknight', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0}}",battle_log/pokellmon_vs_invited_player\literally an ai - battle-gen8ou-83.html
28,14,12,0.0,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Clefable': {'base_form': 'Clefable', 'HP': 0}, 'Corviknight': {'base_form': 'Corviknight', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0}}",battle_log/pokellmon_vs_invited_player\literally an ai - battle-gen8ou-84.html
23,12,12,0.0,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Clefable': {'base_form': 'Clefable', 'HP': 0}, 'Corviknight': {'base_form': 'Corviknight', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0}}",battle_log/pokellmon_vs_invited_player\literally an ai - battle-gen8ou-85.html
25,13,12,0.0,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Clefable': {'base_form': 'Clefable', 'HP': 0}, 'Corviknight': {'base_form': 'Corviknight', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0}}",battle_log/pokellmon_vs_invited_player\literally an ai - battle-gen8ou-86.html
21,10,13,0.0,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Clefable': {'base_form': 'Clefable', 'HP': 0}, 'Corviknight': {'base_form': 'Corviknight', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0}}",battle_log/pokellmon_vs_invited_player\literally an ai - battle-gen8ou-87.html
