Turn Count,Attack Count,Switch Count,Average HP,Pokemons,File
16,6,9,0.0,"{'Togekiss': {'base_form': 'Togekiss', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}, 'Magnezone': {'base_form': 'Magnezone', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0}, 'Conkeldurr': {'base_form': 'Conkeldurr', 'HP': 0}}",battle_log_only_player_context\pokellmon_vs_invited_player\literally an ai - battle-gen8ou-109.html
20,10,8,0.0,"{'Togekiss': {'base_form': 'Togekiss', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}, 'Magnezone': {'base_form': 'Magnezone', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0}, 'Conkeldurr': {'base_form': 'Conkeldurr', 'HP': 0}}",battle_log_only_player_context\pokellmon_vs_invited_player\literally an ai - battle-gen8ou-110.html
23,8,14,0.0,"{'Togekiss': {'base_form': 'Togekiss', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}, 'Magnezone': {'base_form': 'Magnezone', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0}, 'Conkeldurr': {'base_form': 'Conkeldurr', 'HP': 0}}",battle_log_only_player_context\pokellmon_vs_invited_player\literally an ai - battle-gen8ou-111.html
19,9,10,0.0,"{'Togekiss': {'base_form': 'Togekiss', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}, 'Magnezone': {'base_form': 'Magnezone', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0}, 'Conkeldurr': {'base_form': 'Conkeldurr', 'HP': 0}}",battle_log_only_player_context\pokellmon_vs_invited_player\literally an ai - battle-gen8ou-112.html
21,9,12,0.0,"{'Togekiss': {'base_form': 'Togekiss', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}, 'Magnezone': {'base_form': 'Magnezone', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0}, 'Conkeldurr': {'base_form': 'Conkeldurr', 'HP': 0}}",battle_log_only_player_context\pokellmon_vs_invited_player\literally an ai - battle-gen8ou-113.html
22,12,10,0.0,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}, 'Ludicolo': {'base_form': 'Ludicolo', 'HP': 0}, 'Toxtricity': {'base_form': 'Toxtricity', 'HP': 0}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}}",battle_log_only_player_context\pokellmon_vs_invited_player\literally an ai - battle-gen8ou-114.html
23,14,11,0.0,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}, 'Ludicolo': {'base_form': 'Ludicolo', 'HP': 0}, 'Toxtricity': {'base_form': 'Toxtricity', 'HP': 0}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}}",battle_log_only_player_context\pokellmon_vs_invited_player\literally an ai - battle-gen8ou-115.html
21,10,13,0.0,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}, 'Ludicolo': {'base_form': 'Ludicolo', 'HP': 0}, 'Toxtricity': {'base_form': 'Toxtricity', 'HP': 0}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}}",battle_log_only_player_context\pokellmon_vs_invited_player\literally an ai - battle-gen8ou-116.html
23,10,15,0.0,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}, 'Ludicolo': {'base_form': 'Ludicolo', 'HP': 0}, 'Toxtricity': {'base_form': 'Toxtricity', 'HP': 0}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}}",battle_log_only_player_context\pokellmon_vs_invited_player\literally an ai - battle-gen8ou-117.html
20,7,13,0.0,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}, 'Ludicolo': {'base_form': 'Ludicolo', 'HP': 0}, 'Toxtricity': {'base_form': 'Toxtricity', 'HP': 0}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}}",battle_log_only_player_context\pokellmon_vs_invited_player\literally an ai - battle-gen8ou-118.html
