Turn Count,Attack Count,Switch Count,Average HP,Pokemons,File
14,8,9,0.0,"{'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Zapdos': {'base_form': 'Zapdos', 'HP': 0}, 'Melmetal': {'base_form': 'Melmetal', 'HP': 0}, 'Tyranitar': {'base_form': 'Tyranitar', 'HP': 0}, 'Skarmory': {'base_form': 'Skarmory', 'HP': 0}}",battle_log_test\pokellmon_vs_bot\opponent_meta\divyansh7877 - battle-gen8ou-160.html
26,22,8,19.30918222206613,"{'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Zapdos': {'base_form': 'Zapdos', 'HP': 0}, 'Melmetal': {'base_form': 'Melmetal', 'HP': 0}, 'Tyranitar': {'base_form': 'Tyranitar', 'HP': 0.5777126099706745}, 'Skarmory': {'base_form': 'Skarmory', 'HP': 0.5808383233532934}}",battle_log_test\pokellmon_vs_bot\opponent_meta\divyansh7877 - battle-gen8ou-161.html
21,14,10,31.747994558573183,"{'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Zapdos': {'base_form': 'Zapdos', 'HP': 0.4151436031331593}, 'Melmetal': {'base_form': 'Melmetal', 'HP': 0}, 'Tyranitar': {'base_form': 'Tyranitar', 'HP': 0.4897360703812317}, 'Skarmory': {'base_form': 'Skarmory', 'HP': 1}}",battle_log_test\pokellmon_vs_bot\opponent_meta\divyansh7877 - battle-gen8ou-162.html
13,7,9,0.0,"{'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Zapdos': {'base_form': 'Zapdos', 'HP': 0}, 'Melmetal': {'base_form': 'Melmetal', 'HP': 0}, 'Tyranitar': {'base_form': 'Tyranitar', 'HP': 0}, 'Skarmory': {'base_form': 'Skarmory', 'HP': 0}}",battle_log_test\pokellmon_vs_bot\opponent_meta\divyansh7877 - battle-gen8ou-163.html
29,21,11,0.0,"{'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Zapdos': {'base_form': 'Zapdos', 'HP': 0}, 'Melmetal': {'base_form': 'Melmetal', 'HP': 0}, 'Tyranitar': {'base_form': 'Tyranitar', 'HP': 0}, 'Skarmory': {'base_form': 'Skarmory', 'HP': 0}}",battle_log_test\pokellmon_vs_bot\opponent_meta\divyansh7877 - battle-gen8ou-164.html
23,16,12,0.0,"{'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Zapdos': {'base_form': 'Zapdos', 'HP': 0}, 'Melmetal': {'base_form': 'Melmetal', 'HP': 0}, 'Tyranitar': {'base_form': 'Tyranitar', 'HP': 0}, 'Kartana': {'base_form': 'Kartana', 'HP': 0}}",battle_log_test\pokellmon_vs_bot\opponent_meta\divyansh7877 - battle-gen8ou-165.html
17,11,10,23.972523978949933,"{'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Zapdos': {'base_form': 'Zapdos', 'HP': 0.06788511749347259}, 'Melmetal': {'base_form': 'Melmetal', 'HP': 0}, 'Tyranitar': {'base_form': 'Tyranitar', 'HP': 0.3704663212435233}, 'Kartana': {'base_form': 'Kartana', 'HP': 1}}",battle_log_test\pokellmon_vs_bot\opponent_meta\divyansh7877 - battle-gen8ou-166.html
16,11,6,39.41078014871118,"{'Weavile': {'base_form': 'Weavile', 'HP': 0.004}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0.15987460815047022}, 'Zapdos': {'base_form': 'Zapdos', 'HP': 1.0}, 'Melmetal': {'base_form': 'Melmetal', 'HP': 0}, 'Tyranitar': {'base_form': 'Tyranitar', 'HP': 1}, 'Kartana': {'base_form': 'Kartana', 'HP': 0.20077220077220076}}",battle_log_test\pokellmon_vs_bot\opponent_meta\divyansh7877 - battle-gen8ou-167.html
22,17,8,0.0,"{'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Zapdos': {'base_form': 'Zapdos', 'HP': 0}, 'Melmetal': {'base_form': 'Melmetal', 'HP': 0}, 'Tyranitar': {'base_form': 'Tyranitar', 'HP': 0}, 'Kartana': {'base_form': 'Kartana', 'HP': 0}}",battle_log_test\pokellmon_vs_bot\opponent_meta\divyansh7877 - battle-gen8ou-168.html
18,12,9,0.0,"{'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Zapdos': {'base_form': 'Zapdos', 'HP': 0}, 'Melmetal': {'base_form': 'Melmetal', 'HP': 0}, 'Tyranitar': {'base_form': 'Tyranitar', 'HP': 0}, 'Kartana': {'base_form': 'Kartana', 'HP': 0}}",battle_log_test\pokellmon_vs_bot\opponent_meta\divyansh7877 - battle-gen8ou-169.html
