Turn Count,Attack Count,Switch Count,Average HP,Pokemons,File
18,13,7,27.469990766389657,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Togekiss': {'base_form': 'Togekiss', 'HP': 0}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0.6481994459833795}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 1}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0}}",battle_log_test\pokellmon_vs_bot\opponent_meta_no_context\divyansh7877 - battle-gen8ou-180.html
16,11,7,41.66666666666667,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Togekiss': {'base_form': 'Togekiss', 'HP': 1}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0.5}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 1}}",battle_log_test\pokellmon_vs_bot\opponent_meta_no_context\divyansh7877 - battle-gen8ou-181.html
18,11,9,50.0,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 1}, 'Togekiss': {'base_form': 'Togekiss', 'HP': 0}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 1}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 1}}",battle_log_test\pokellmon_vs_bot\opponent_meta_no_context\divyansh7877 - battle-gen8ou-182.html
12,9,5,61.51603498542274,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Togekiss': {'base_form': 'Togekiss', 'HP': 0.6909620991253644}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 1}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 1}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 1}}",battle_log_test\pokellmon_vs_bot\opponent_meta_no_context\divyansh7877 - battle-gen8ou-183.html
20,14,8,25.28409090909091,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Togekiss': {'base_form': 'Togekiss', 'HP': 1}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0.39204545454545453}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0.125}}",battle_log_test\pokellmon_vs_bot\opponent_meta_no_context\divyansh7877 - battle-gen8ou-184.html
22,13,10,5.310880829015544,"{'Toxapex': {'base_form': 'Toxapex', 'HP': 0}, 'Dragonite': {'base_form': 'Dragonite', 'HP': 0.31865284974093266}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}, 'Heatran': {'base_form': 'Heatran', 'HP': 0}, 'Tapu Fini': {'base_form': 'Tapu Fini', 'HP': 0}, 'Zapdos': {'base_form': 'Zapdos', 'HP': 0}}",battle_log_test\pokellmon_vs_bot\opponent_meta_no_context\divyansh7877 - battle-gen8ou-185.html
26,16,9,0.0,"{'Toxapex': {'base_form': 'Toxapex', 'HP': 0}, 'Dragonite': {'base_form': 'Dragonite', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}, 'Heatran': {'base_form': 'Heatran', 'HP': 0}, 'Tapu Fini': {'base_form': 'Tapu Fini', 'HP': 0}, 'Zapdos': {'base_form': 'Zapdos', 'HP': 0}}",battle_log_test\pokellmon_vs_bot\opponent_meta_no_context\divyansh7877 - battle-gen8ou-186.html
56,44,12,0.0,"{'Toxapex': {'base_form': 'Toxapex', 'HP': 0}, 'Dragonite': {'base_form': 'Dragonite', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}, 'Heatran': {'base_form': 'Heatran', 'HP': 0}, 'Tapu Fini': {'base_form': 'Tapu Fini', 'HP': 0}, 'Zapdos': {'base_form': 'Zapdos', 'HP': 0}}",battle_log_test\pokellmon_vs_bot\opponent_meta_no_context\divyansh7877 - battle-gen8ou-187.html
35,24,12,16.070084204799233,"{'Toxapex': {'base_form': 'Toxapex', 'HP': 0.31135531135531136}, 'Dragonite': {'base_form': 'Dragonite', 'HP': 0.6528497409326425}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}, 'Heatran': {'base_form': 'Heatran', 'HP': 0}, 'Tapu Fini': {'base_form': 'Tapu Fini', 'HP': 0}, 'Zapdos': {'base_form': 'Zapdos', 'HP': 0}}",battle_log_test\pokellmon_vs_bot\opponent_meta_no_context\divyansh7877 - battle-gen8ou-188.html
25,20,7,32.07009885092077,"{'Toxapex': {'base_form': 'Toxapex', 'HP': 0.8351648351648352}, 'Dragonite': {'base_form': 'Dragonite', 'HP': 1}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}, 'Heatran': {'base_form': 'Heatran', 'HP': 0.08904109589041095}, 'Tapu Fini': {'base_form': 'Tapu Fini', 'HP': 0}, 'Zapdos': {'base_form': 'Zapdos', 'HP': 0}}",battle_log_test\pokellmon_vs_bot\opponent_meta_no_context\divyansh7877 - battle-gen8ou-189.html
