Turn Count,Attack Count,Switch Count,Average HP,Pokemons,File
24,19,8,45.45384810831853,"{'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Skarmory': {'base_form': 'Skarmory', 'HP': 1}, 'Zapdos': {'base_form': 'Zapdos', 'HP': 0.17493472584856398}, 'Melmetal': {'base_form': 'Melmetal', 'HP': 0.47}, 'Tyranitar': {'base_form': 'Tyranitar', 'HP': 0.7970297029702971}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0.2852664576802508}}",battle_log\pokellmon_vs_bot\with_context_gpt_4_turbo_5_9\divyansh7877 - battle-gen8ou-100.html
27,18,14,8.5,"{'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Skarmory': {'base_form': 'Skarmory', 'HP': 0.51}, 'Zapdos': {'base_form': 'Zapdos', 'HP': 0}, 'Melmetal': {'base_form': 'Melmetal', 'HP': 0}, 'Tyranitar': {'base_form': 'Tyranitar', 'HP': 0}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}}",battle_log\pokellmon_vs_bot\with_context_gpt_4_turbo_5_9\divyansh7877 - battle-gen8ou-101.html
13,7,7,0.0,"{'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Clefable': {'base_form': 'Clefable', 'HP': 0}, 'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Heatran': {'base_form': 'Heatran', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}}",battle_log\pokellmon_vs_bot\with_context_gpt_4_turbo_5_9\divyansh7877 - battle-gen8ou-133.html
17,12,8,0.0,"{'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Clefable': {'base_form': 'Clefable', 'HP': 0}, 'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Heatran': {'base_form': 'Heatran', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}}",battle_log\pokellmon_vs_bot\with_context_gpt_4_turbo_5_9\divyansh7877 - battle-gen8ou-134.html
20,14,10,0.0,"{'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Clefable': {'base_form': 'Clefable', 'HP': 0}, 'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Heatran': {'base_form': 'Heatran', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}}",battle_log\pokellmon_vs_bot\with_context_gpt_4_turbo_5_9\divyansh7877 - battle-gen8ou-135.html
19,13,11,0.0,"{'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Clefable': {'base_form': 'Clefable', 'HP': 0}, 'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Heatran': {'base_form': 'Heatran', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}}",battle_log\pokellmon_vs_bot\with_context_gpt_4_turbo_5_9\divyansh7877 - battle-gen8ou-136.html
22,17,10,0.0,"{'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Clefable': {'base_form': 'Clefable', 'HP': 0}, 'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Heatran': {'base_form': 'Heatran', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}}",battle_log\pokellmon_vs_bot\with_context_gpt_4_turbo_5_9\divyansh7877 - battle-gen8ou-137.html
33,24,15,10.321969696969695,"{'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Skarmory': {'base_form': 'Skarmory', 'HP': 0}, 'Zapdos': {'base_form': 'Zapdos', 'HP': 0.6193181818181818}, 'Melmetal': {'base_form': 'Melmetal', 'HP': 0}, 'Tyranitar': {'base_form': 'Tyranitar', 'HP': 0}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}}",battle_log\pokellmon_vs_bot\with_context_gpt_4_turbo_5_9\divyansh7877 - battle-gen8ou-76.html
16,11,8,0.0,"{'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Skarmory': {'base_form': 'Skarmory', 'HP': 0}, 'Zapdos': {'base_form': 'Zapdos', 'HP': 0}, 'Melmetal': {'base_form': 'Melmetal', 'HP': 0}, 'Tyranitar': {'base_form': 'Tyranitar', 'HP': 0}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}}",battle_log\pokellmon_vs_bot\with_context_gpt_4_turbo_5_9\divyansh7877 - battle-gen8ou-77.html
16,9,12,0.0,"{'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Skarmory': {'base_form': 'Skarmory', 'HP': 0}, 'Zapdos': {'base_form': 'Zapdos', 'HP': 0}, 'Melmetal': {'base_form': 'Melmetal', 'HP': 0}, 'Tyranitar': {'base_form': 'Tyranitar', 'HP': 0}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}}",battle_log\pokellmon_vs_bot\with_context_gpt_4_turbo_5_9\divyansh7877 - battle-gen8ou-78.html
