Turn Count,Attack Count,Switch Count,Average HP,Pokemons,File
21,14,9,0.0,"{'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Clefable': {'base_form': 'Clefable', 'HP': 0}, 'Heatran': {'base_form': 'Heatran', 'HP': 0}, 'Tapu Lele': {'base_form': 'Tapu Lele', 'HP': 0}, 'Dragapult': {'base_form': 'Dragapult', 'HP': 0}}",battle_log_with_context\pokellmon_vs_invited_player\literally an ai - battle-gen8ou-88.html
13,8,9,0.0,"{'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Clefable': {'base_form': 'Clefable', 'HP': 0}, 'Heatran': {'base_form': 'Heatran', 'HP': 0}, 'Tapu Lele': {'base_form': 'Tapu Lele', 'HP': 0}, 'Dragapult': {'base_form': 'Dragapult', 'HP': 0}}",battle_log_with_context\pokellmon_vs_invited_player\literally an ai - battle-gen8ou-89.html
12,5,8,0.0,"{'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Clefable': {'base_form': 'Clefable', 'HP': 0}, 'Heatran': {'base_form': 'Heatran', 'HP': 0}, 'Tapu Lele': {'base_form': 'Tapu Lele', 'HP': 0}, 'Dragapult': {'base_form': 'Dragapult', 'HP': 0}}",battle_log_with_context\pokellmon_vs_invited_player\literally an ai - battle-gen8ou-90.html
15,6,8,0.0,"{'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Clefable': {'base_form': 'Clefable', 'HP': 0}, 'Heatran': {'base_form': 'Heatran', 'HP': 0}, 'Tapu Lele': {'base_form': 'Tapu Lele', 'HP': 0}, 'Dragapult': {'base_form': 'Dragapult', 'HP': 0}}",battle_log_with_context\pokellmon_vs_invited_player\literally an ai - battle-gen8ou-91.html
16,7,10,0.0,"{'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Clefable': {'base_form': 'Clefable', 'HP': 0}, 'Heatran': {'base_form': 'Heatran', 'HP': 0}, 'Tapu Lele': {'base_form': 'Tapu Lele', 'HP': 0}, 'Dragapult': {'base_form': 'Dragapult', 'HP': 0}}",battle_log_with_context\pokellmon_vs_invited_player\literally an ai - battle-gen8ou-92.html
14,5,9,0.0,"{'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Clefable': {'base_form': 'Clefable', 'HP': 0}, 'Heatran': {'base_form': 'Heatran', 'HP': 0}, 'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Tapu Lele': {'base_form': 'Tapu Lele', 'HP': 0}}",battle_log_with_context\pokellmon_vs_invited_player\literally an ai - battle-gen8ou-93.html
12,4,9,0.0,"{'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Clefable': {'base_form': 'Clefable', 'HP': 0}, 'Heatran': {'base_form': 'Heatran', 'HP': 0}, 'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Tapu Lele': {'base_form': 'Tapu Lele', 'HP': 0}}",battle_log_with_context\pokellmon_vs_invited_player\literally an ai - battle-gen8ou-94.html
8,1,6,0.0,"{'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Clefable': {'base_form': 'Clefable', 'HP': 0}, 'Heatran': {'base_form': 'Heatran', 'HP': 0}, 'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Tapu Lele': {'base_form': 'Tapu Lele', 'HP': 0}}",battle_log_with_context\pokellmon_vs_invited_player\literally an ai - battle-gen8ou-95.html
10,3,6,0.0,"{'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Clefable': {'base_form': 'Clefable', 'HP': 0}, 'Heatran': {'base_form': 'Heatran', 'HP': 0}, 'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Tapu Lele': {'base_form': 'Tapu Lele', 'HP': 0}}",battle_log_with_context\pokellmon_vs_invited_player\literally an ai - battle-gen8ou-96.html
11,4,7,0.0,"{'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Clefable': {'base_form': 'Clefable', 'HP': 0}, 'Heatran': {'base_form': 'Heatran', 'HP': 0}, 'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Tapu Lele': {'base_form': 'Tapu Lele', 'HP': 0}}",battle_log_with_context\pokellmon_vs_invited_player\literally an ai - battle-gen8ou-97.html
