Turn Count,Attack Count,Switch Count,Average HP,Pokemons,File
14,7,7,0.0,"{'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Zapdos': {'base_form': 'Zapdos', 'HP': 0}, 'Melmetal': {'base_form': 'Melmetal', 'HP': 0}, 'Urshifu-*': {'base_form': 'Urshifu', 'HP': 0}, 'Kartana': {'base_form': 'Kartana', 'HP': 0}}",battle_log\pokellmon_vs_invited_player\literally an ai - battle-gen8ou-100.html
13,5,9,0.0,"{'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Zapdos': {'base_form': 'Zapdos', 'HP': 0}, 'Melmetal': {'base_form': 'Melmetal', 'HP': 0}, 'Urshifu-*': {'base_form': 'Urshifu', 'HP': 0}, 'Kartana': {'base_form': 'Kartana', 'HP': 0}}",battle_log\pokellmon_vs_invited_player\literally an ai - battle-gen8ou-101.html
12,4,7,0.0,"{'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Zapdos': {'base_form': 'Zapdos', 'HP': 0}, 'Melmetal': {'base_form': 'Melmetal', 'HP': 0}, 'Urshifu-*': {'base_form': 'Urshifu', 'HP': 0}, 'Kartana': {'base_form': 'Kartana', 'HP': 0}}",battle_log\pokellmon_vs_invited_player\literally an ai - battle-gen8ou-102.html
14,5,8,0.0,"{'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Kartana': {'base_form': 'Kartana', 'HP': 0}, 'Zapdos': {'base_form': 'Zapdos', 'HP': 0}, 'Melmetal': {'base_form': 'Melmetal', 'HP': 0}, 'Tyranitar': {'base_form': 'Tyranitar', 'HP': 0}}",battle_log\pokellmon_vs_invited_player\literally an ai - battle-gen8ou-103.html
15,9,8,0.0,"{'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Kartana': {'base_form': 'Kartana', 'HP': 0}, 'Zapdos': {'base_form': 'Zapdos', 'HP': 0}, 'Melmetal': {'base_form': 'Melmetal', 'HP': 0}, 'Tyranitar': {'base_form': 'Tyranitar', 'HP': 0}}",battle_log\pokellmon_vs_invited_player\literally an ai - battle-gen8ou-104.html
16,6,9,0.0,"{'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Kartana': {'base_form': 'Kartana', 'HP': 0}, 'Zapdos': {'base_form': 'Zapdos', 'HP': 0}, 'Melmetal': {'base_form': 'Melmetal', 'HP': 0}, 'Tyranitar': {'base_form': 'Tyranitar', 'HP': 0}}",battle_log\pokellmon_vs_invited_player\literally an ai - battle-gen8ou-105.html
18,9,9,0.0,"{'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Kartana': {'base_form': 'Kartana', 'HP': 0}, 'Zapdos': {'base_form': 'Zapdos', 'HP': 0}, 'Melmetal': {'base_form': 'Melmetal', 'HP': 0}, 'Tyranitar': {'base_form': 'Tyranitar', 'HP': 0}}",battle_log\pokellmon_vs_invited_player\literally an ai - battle-gen8ou-106.html
18,8,11,0.0,"{'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Kartana': {'base_form': 'Kartana', 'HP': 0}, 'Zapdos': {'base_form': 'Zapdos', 'HP': 0}, 'Melmetal': {'base_form': 'Melmetal', 'HP': 0}, 'Tyranitar': {'base_form': 'Tyranitar', 'HP': 0}}",battle_log\pokellmon_vs_invited_player\literally an ai - battle-gen8ou-107.html
14,7,8,0.0,"{'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Zapdos': {'base_form': 'Zapdos', 'HP': 0}, 'Melmetal': {'base_form': 'Melmetal', 'HP': 0}, 'Urshifu-*': {'base_form': 'Urshifu', 'HP': 0}, 'Kartana': {'base_form': 'Kartana', 'HP': 0}}",battle_log\pokellmon_vs_invited_player\literally an ai - battle-gen8ou-98.html
19,12,8,0.0,"{'Landorus-Therian': {'base_form': 'Landorus', 'HP': 0}, 'Weavile': {'base_form': 'Weavile', 'HP': 0}, 'Zapdos': {'base_form': 'Zapdos', 'HP': 0}, 'Melmetal': {'base_form': 'Melmetal', 'HP': 0}, 'Urshifu-*': {'base_form': 'Urshifu', 'HP': 0}, 'Kartana': {'base_form': 'Kartana', 'HP': 0}}",battle_log\pokellmon_vs_invited_player\literally an ai - battle-gen8ou-99.html
