Turn Count,Attack Count,Switch Count,Average HP,Pokemons,File
17,12,9,43.66391184573003,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Corviknight': {'base_form': 'Corviknight', 'HP': 1}, 'Clefable': {'base_form': 'Clefable', 'HP': 0.6198347107438017}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 1.0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}}",battle_log\pokellmon_vs_bot\without_context_gpt_4_turbo_5_9\divyansh7877 - battle-gen8ou-102.html
18,12,8,0.0,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Corviknight': {'base_form': 'Corviknight', 'HP': 0}, 'Clefable': {'base_form': 'Clefable', 'HP': 0}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}}",battle_log\pokellmon_vs_bot\without_context_gpt_4_turbo_5_9\divyansh7877 - battle-gen8ou-103.html
18,14,8,66.66666666666666,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Corviknight': {'base_form': 'Corviknight', 'HP': 1}, 'Clefable': {'base_form': 'Clefable', 'HP': 1}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 1}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 1}}",battle_log\pokellmon_vs_bot\without_context_gpt_4_turbo_5_9\divyansh7877 - battle-gen8ou-104.html
15,10,7,0.0,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Corviknight': {'base_form': 'Corviknight', 'HP': 0}, 'Clefable': {'base_form': 'Clefable', 'HP': 0}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}}",battle_log\pokellmon_vs_bot\without_context_gpt_4_turbo_5_9\divyansh7877 - battle-gen8ou-105.html
18,10,10,2.8333333333333335,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Corviknight': {'base_form': 'Corviknight', 'HP': 0.17}, 'Clefable': {'base_form': 'Clefable', 'HP': 0}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}}",battle_log\pokellmon_vs_bot\without_context_gpt_4_turbo_5_9\divyansh7877 - battle-gen8ou-106.html
19,12,9,20.061188811188813,"{'Clefable': {'base_form': 'Clefable', 'HP': 0}, 'Dragapult': {'base_form': 'Dragapult', 'HP': 0.6468531468531469}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0.5568181818181818}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}}",battle_log\pokellmon_vs_bot\without_context_gpt_4_turbo_5_9\divyansh7877 - battle-gen8ou-107.html
16,11,7,20.634920634920636,"{'Clefable': {'base_form': 'Clefable', 'HP': 0}, 'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 1}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0.23809523809523808}}",battle_log\pokellmon_vs_bot\without_context_gpt_4_turbo_5_9\divyansh7877 - battle-gen8ou-108.html
18,10,8,21.87360123018647,"{'Clefable': {'base_form': 'Clefable', 'HP': 0.48760330578512395}, 'Dragapult': {'base_form': 'Dragapult', 'HP': 0.20279720279720279}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0.3601108033240997}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0.2619047619047619}}",battle_log\pokellmon_vs_bot\without_context_gpt_4_turbo_5_9\divyansh7877 - battle-gen8ou-109.html
16,8,9,0.0,"{'Clefable': {'base_form': 'Clefable', 'HP': 0}, 'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}}",battle_log\pokellmon_vs_bot\without_context_gpt_4_turbo_5_9\divyansh7877 - battle-gen8ou-110.html
29,23,7,0.0,"{'Clefable': {'base_form': 'Clefable', 'HP': 0}, 'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}}",battle_log\pokellmon_vs_bot\without_context_gpt_4_turbo_5_9\divyansh7877 - battle-gen8ou-111.html
