Turn Count,Attack Count,Switch Count,Average HP,Pokemons,File
15,11,5,0.0,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Tyranitar': {'base_form': 'Tyranitar', 'HP': 0}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}, 'Togekiss': {'base_form': 'Togekiss', 'HP': 0}}",battle_log\pokellmon_vs_bot\without_context\divyansh7877 - battle-gen8ou-23.html
16,15,3,40.759075907590756,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Tyranitar': {'base_form': 'Tyranitar', 'HP': 0}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0.44554455445544555}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 1}, 'Togekiss': {'base_form': 'Togekiss', 'HP': 1}}",battle_log\pokellmon_vs_bot\without_context\divyansh7877 - battle-gen8ou-24.html
14,10,5,0.0,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Tyranitar': {'base_form': 'Tyranitar', 'HP': 0}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}, 'Togekiss': {'base_form': 'Togekiss', 'HP': 0}}",battle_log\pokellmon_vs_bot\without_context\divyansh7877 - battle-gen8ou-25.html
17,14,5,0.0,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Tyranitar': {'base_form': 'Tyranitar', 'HP': 0}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}, 'Togekiss': {'base_form': 'Togekiss', 'HP': 0}}",battle_log\pokellmon_vs_bot\without_context\divyansh7877 - battle-gen8ou-26.html
19,15,5,0.0,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Tyranitar': {'base_form': 'Tyranitar', 'HP': 0}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}, 'Togekiss': {'base_form': 'Togekiss', 'HP': 0}}",battle_log\pokellmon_vs_bot\without_context\divyansh7877 - battle-gen8ou-27.html
20,16,5,0.0,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Tyranitar': {'base_form': 'Tyranitar', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}}",battle_log\pokellmon_vs_bot\without_context\divyansh7877 - battle-gen8ou-28.html
12,8,5,0.0,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Tyranitar': {'base_form': 'Tyranitar', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}}",battle_log\pokellmon_vs_bot\without_context\divyansh7877 - battle-gen8ou-29.html
18,14,5,0.0,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Tyranitar': {'base_form': 'Tyranitar', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}}",battle_log\pokellmon_vs_bot\without_context\divyansh7877 - battle-gen8ou-30.html
17,13,5,0.0,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Tyranitar': {'base_form': 'Tyranitar', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}}",battle_log\pokellmon_vs_bot\without_context\divyansh7877 - battle-gen8ou-31.html
14,10,5,0.0,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Tyranitar': {'base_form': 'Tyranitar', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}, 'Rotom-Wash': {'base_form': 'Rotom', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}}",battle_log\pokellmon_vs_bot\without_context\divyansh7877 - battle-gen8ou-32.html
21,16,5,0.0,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Clefable': {'base_form': 'Clefable', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0}, 'Heatran': {'base_form': 'Heatran', 'HP': 0}}",battle_log\pokellmon_vs_bot\without_context\divyansh7877 - battle-gen8ou-33.html
18,14,5,0.0,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Clefable': {'base_form': 'Clefable', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0}, 'Heatran': {'base_form': 'Heatran', 'HP': 0}}",battle_log\pokellmon_vs_bot\without_context\divyansh7877 - battle-gen8ou-34.html
14,9,5,0.0,"{'Dragapult': {'base_form': 'Dragapult', 'HP': 0}, 'Clefable': {'base_form': 'Clefable', 'HP': 0}, 'Ferrothorn': {'base_form': 'Ferrothorn', 'HP': 0}, 'Excadrill': {'base_form': 'Excadrill', 'HP': 0}, 'Toxapex': {'base_form': 'Toxapex', 'HP': 0}, 'Heatran': {'base_form': 'Heatran', 'HP': 0}}",battle_log\pokellmon_vs_bot\without_context\divyansh7877 - battle-gen8ou-35.html
